               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092812,            0.095251,            0.045257,           0.0021684,             0.09607,            0.001934,          0.00046091,            0.089892,            0.081125,            0.047017,             0.07012,             0.00332,             0.00332
                   1,            0.085681,            0.097608,            0.035528,             0.87945,            0.045437,            0.046139,            0.017775,            0.071743,            0.082917,            0.032381,            0.040054,           0.0065875,           0.0065875
                   2,            0.067115,            0.074222,            0.033221,             0.91334,             0.07195,            0.087493,            0.035103,            0.059863,            0.085915,            0.031707,           0.0099223,           0.0097889,           0.0097889
                   3,             0.04926,            0.061003,            0.032107,             0.45372,              0.3867,             0.17356,            0.093154,            0.037698,            0.042979,            0.030994,            0.009703,            0.009703,            0.009703
                   4,            0.040011,            0.054165,            0.032345,             0.44198,             0.40701,             0.18314,             0.11271,            0.032447,            0.040749,            0.030533,            0.009703,            0.009703,            0.009703
                   5,             0.03583,            0.049427,            0.031674,              0.4807,             0.32389,             0.20639,              0.1449,            0.026277,            0.036683,            0.029812,            0.009604,            0.009604,            0.009604
                   6,             0.03313,            0.047148,            0.030731,             0.47439,             0.58297,             0.24836,             0.17541,            0.024866,            0.033873,            0.029118,            0.009505,            0.009505,            0.009505
                   7,            0.031946,            0.046033,            0.029284,               0.688,             0.35457,             0.27487,             0.20301,            0.022061,            0.031484,            0.026009,            0.009406,            0.009406,            0.009406
                   8,            0.030481,            0.044162,            0.027354,             0.69467,             0.40174,             0.30279,             0.22604,            0.021566,              0.0306,            0.024316,            0.009307,            0.009307,            0.009307
                   9,            0.029238,            0.043116,            0.025686,             0.71363,             0.34421,             0.30319,             0.21777,            0.023882,            0.035939,            0.023991,            0.009208,            0.009208,            0.009208
                  10,            0.028376,            0.041868,            0.024953,             0.74847,             0.37786,              0.3309,             0.23496,            0.022702,            0.033106,            0.022071,            0.009109,            0.009109,            0.009109
                  11,            0.027697,            0.041733,            0.024554,             0.73935,             0.41055,             0.34176,             0.25014,            0.021853,            0.030595,            0.021879,             0.00901,             0.00901,             0.00901
                  12,            0.027232,            0.040908,             0.02303,             0.75734,             0.39165,              0.3434,             0.24366,            0.022761,            0.031127,            0.021484,            0.008911,            0.008911,            0.008911
                  13,            0.026609,            0.040402,            0.022873,             0.77389,             0.39607,             0.36773,             0.27947,            0.019973,            0.028936,            0.020762,            0.008812,            0.008812,            0.008812
                  14,            0.026007,            0.039879,            0.022383,             0.78414,             0.40117,             0.36592,             0.27534,             0.02064,            0.030572,             0.02062,            0.008713,            0.008713,            0.008713
                  15,            0.025845,            0.040083,            0.022404,               0.783,              0.3915,             0.39882,             0.30528,            0.019552,            0.028388,            0.019953,            0.008614,            0.008614,            0.008614
                  16,            0.025277,            0.038668,             0.02147,             0.81567,             0.37291,             0.42765,             0.32591,            0.019387,            0.028767,            0.019387,            0.008515,            0.008515,            0.008515
                  17,            0.024982,            0.038498,            0.021004,             0.90078,             0.37998,             0.47538,               0.357,            0.019067,            0.028179,             0.01824,            0.008416,            0.008416,            0.008416
                  18,            0.024934,            0.038272,            0.019634,              0.9224,             0.40326,             0.50529,              0.3853,            0.018605,            0.027707,            0.017315,            0.008317,            0.008317,            0.008317
                  19,            0.024555,            0.038703,            0.018527,             0.90989,             0.42385,             0.51438,             0.39211,            0.018576,            0.027723,            0.016847,            0.008218,            0.008218,            0.008218
                  20,            0.023963,            0.037742,            0.018333,             0.92559,             0.42202,             0.52199,             0.39858,            0.018301,            0.027432,            0.016563,            0.008119,            0.008119,            0.008119
                  21,            0.023748,            0.037292,            0.017722,             0.73168,             0.50675,             0.53259,             0.40374,            0.018981,             0.02729,            0.016221,             0.00802,             0.00802,             0.00802
                  22,            0.023793,            0.036846,            0.017045,             0.61889,             0.60846,             0.54164,             0.41351,             0.01922,            0.027487,            0.016333,            0.007921,            0.007921,            0.007921
                  23,            0.023637,            0.036571,            0.016955,             0.62219,             0.61854,             0.56617,             0.43305,            0.018667,            0.027284,            0.015594,            0.007822,            0.007822,            0.007822
                  24,            0.023513,            0.036131,            0.016673,             0.63509,             0.59864,             0.56514,             0.43534,            0.018395,             0.02701,            0.015561,            0.007723,            0.007723,            0.007723
                  25,             0.02296,            0.036281,            0.016088,             0.67174,             0.57707,             0.58046,             0.44326,            0.018206,            0.027133,            0.015244,            0.007624,            0.007624,            0.007624
                  26,            0.023134,            0.036347,            0.015967,             0.64457,              0.6244,              0.5816,              0.4462,            0.017893,            0.026688,            0.015078,            0.007525,            0.007525,            0.007525
                  27,            0.022671,            0.036193,            0.015747,             0.67769,             0.59314,             0.58938,             0.44778,            0.018257,            0.027083,            0.014883,            0.007426,            0.007426,            0.007426
                  28,            0.022594,             0.03552,            0.015229,             0.71637,             0.59781,             0.59782,              0.4642,            0.017823,            0.026678,            0.014964,            0.007327,            0.007327,            0.007327
